
台灣,#genre#
CCTV-7 軍事農業,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv7
CCTV-8 電視劇 HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv8hd
CCTV-9 記錄 HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv9hd
CCTV-10 科教 HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv10hd
CCTV-11 戲曲,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv11
CCTV-12 社會與法,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv12
CCTV-13 新聞頻道,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv13
CCTV-14 少兒,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv14
CCTV-6,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv6
CCTV-15 音樂,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv15
湖南衛視 Hunan,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Hunan
湖南衛視 （備份）,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=hunan_twn
浙江衛視 Zhejiang,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Zhejiang
浙江衛視 （備用）,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=zhejiang_twn
江蘇衛視 Jiangsu,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Jiangsu
江蘇衛視 （備份）,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=jiangsu_twn
深圳衛視,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=shenzhen
福建東南衛視,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=fujian
廣東南方衛視,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=nanfang_twn
廣東衛視,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=guangdongweishi_twn
北京衛視,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=beijing
珠江台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=zhujiang
廣西衛視,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=guangxi
湖北衛視,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=hubei
四川衛視,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=sichuan_twn
鳳凰衛視,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=phoenixtv_hd
東方衛視,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=dongfangweishi_twn
CGTN,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=CGTN
CCTV-5 體育頻道,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv5
CCTV-5+ 體育賽事 HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv5plus
CCTV-17,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv17
鳳凰資訊,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=phoenixinfo_hd

電影頻道,#genre#
HBO_HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=hbohd_twn
HBO_HITS,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=hbohits_twn
Hollywood Movies,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=hollywoodmovies_twn
CCTV-6,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv6
CINEMAX,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cinemax_twn
Cinemax,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Cinemax
AXN Taiwan,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=axn_twn
大愛2台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=catchplay_twn
