
台灣,#genre#
MTV Live,http://192.168.0.114:6789/Smartv1.php?id=mtvhd_twn
NatGeo Wild HD,http://192.168.0.114:6789/Smartv1.php?id=Natgeowild
Animal Planet (Eng),http://192.168.0.114:6789/Smartv1.php?id=AnimalPlanet
TLC,http://192.168.0.114:6789/Smartv1.php?id=Tlc
AFC 亞洲旅遊台,http://192.168.0.114:6789/Smartv1.php?id=asiatravel_twn
Foodnetwork Hd,http://192.168.0.114:6789/Smartv1.php?id=Foodnetwork_mega
HGTV,http://192.168.0.114:6789/Smartv1.php?id=HGTV

日本,#genre#
NHK-総合-2,http://192.168.0.114:6789/Smartv1.php?id=nhkg_japan
NHK-E,http://192.168.0.114:6789/Smartv1.php?id=nhke_japan
テレビ朝日 Asahi TV,http://192.168.0.114:6789/Smartv1.php?id=asahitv_japan
JET 綜合,http://192.168.0.114:6789/Smartv1.php?id=jettv_japan
テレビ東京 Tokyo TV,http://192.168.0.114:6789/Smartv1.php?id=tokyotv_japan
TOKYOMX,http://192.168.0.114:6789/Smartv1.php?id=tokyomx_japan
NHKBS1,http://192.168.0.114:6789/Smartv1.php?id=nhkbs1_japan
NHKBSプレミア Premium,http://192.168.0.114:6789/Smartv1.php?id=nhkpremium_japan
BSジャパン 181,http://192.168.0.114:6789/Smartv1.php?id=bs181_japan
BSフジ BS Fuji,http://192.168.0.114:6789/Smartv1.php?id=bsfuji_japan
CNA Japan,http://192.168.0.114:6789/Smartv1.php?id=cna_japan
BS-TBS,http://192.168.0.114:6789/Smartv1.php?id=bstbs_japan
NHK Oaska,http://192.168.0.114:6789/Smartv1.php?id=nhkosaka_japan
NHK World,http://192.168.0.114:6789/Smartv1.php?id=nhkworld_japan
BBC 1,http://192.168.0.114:6789/Smartv1.php?id=bbc1_antik
BBC 2,http://192.168.0.114:6789/Smartv1.php?id=bbc2_antik
CBBC,http://192.168.0.114:6789/Smartv1.php?id=cbbc_antik
More4,http://192.168.0.114:6789/Smartv1.php?id=more4_antik
Freesports,http://192.168.0.114:6789/Smartv1.php?id=freesports_antik
Skynews,http://192.168.0.114:6789/Smartv1.php?id=skynews_antik
Pick TV,http://192.168.0.114:6789/Smartv1.php?id=picktv_antik
itv 1,http://192.168.0.114:6789/Smartv1.php?id=itv1_antik
itv 2,http://192.168.0.114:6789/Smartv1.php?id=itv2_antik
Euronews,http://192.168.0.114:6789/Smartv1.php?id=euronews_antik
Channel 4,http://192.168.0.114:6789/Smartv1.php?id=channel4_antik
NatGeo HD,http://192.168.0.114:6789/Smartv1.php?id=Natgeo
