香港,#genre#
马来西亚|TVB Entertainment,http://192.168.2.114:6789/smart2.php?id=Tvbentertainment
马来西亚|TVB Classic,http://192.168.2.114:6789/smart2.php?id=Tvbclassic
马来西亚|AOD,http://192.168.2.114:6789/smart2.php?id=Aodhd
马来西亚|One,http://192.168.2.114:6789/smart2.php?id=One
马来西亚|TVB 星河台 Xing He,http://192.168.2.114:6789/smart2.php?id=Xinhe
马来西亚|爱奇艺 iQiyi,http://192.168.2.114:6789/smart2.php?id=Qiyi
马来西亚|Animal Planet (Eng),http://192.168.2.114:6789/smart2.php?id=AnimalPlanet
马来西亚|tvN Movie,http://192.168.2.114:6789/smart2.php?id=Tvnmovie
马来西亚|CNN backup,http://192.168.2.114:6789/smart2.php?id=cnn_twn
马来西亚|Celestial Classic,http://192.168.2.114:6789/smart2.php?id=Celestial2
马来西亚|CNBC,http://192.168.2.114:6789/smart2.php?id=cnbc_twn
马来西亚|TLC,http://192.168.2.114:6789/smart2.php?id=Tlc
马来西亚|CNA,http://192.168.2.114:6789/smart2.php?id=cna
